id,name,latitude,longitude,street_address,enabled
16,Campus Bike Shop,40.7605800000000000,-111.8428220000000000,1628 E Campus Center Dr,1
39,S.J. Quinney College of Law,40.7612210000000000,-111.8514450000000000,383 S University St,1
40,Mineral Processing Lab,40.7665170000000000,-111.8448860000000000,126 S Central Campus Dr,1
41,Mining Systems Research Lab,40.7666470000000000,-111.8445480000000000,128 S Central Campus Dr,1
42,Experimental Studies Building,40.7660470000000000,-111.8447910000000000,160 S Central Campus Dr,1
43,John and Marva Warnock Engineering Building,40.7677070000000000,-111.8453050000000000,72 S Central Campus Dr,1
44,Alice Sheets Marriott Center for Dance,40.7623990000000000,-111.8485910000000000,330 S 1500 E,1
45,Life Science Building,40.7635340000000000,-111.8501390000000000,255 S 1400 E,1
46,Chemistry Cooling Tower,40.7623960000000000,-111.8502780000000000,,1
47,High Temperature Water Plant,40.7604720000000000,-111.8418900000000000,1705 E South Campus Dr,1
48,Recycling Center,40.7602230000000000,-111.8413410000000000,1725 E South Campus Dr,1
51,Buildings & Grounds Storage Shed #2,40.7603220000000000,-111.8403600000000000,,1
52,Buildings & Grounds Storage Shed #1,40.7604640000000000,-111.8404900000000000,,1
53,Motor Pool Gas Station,40.7607380000000000,-111.8399210000000000,1785 E South Campus Dr,1
54,Motor Pool Building,40.7605680000000000,-111.8402760000000000,1775 E South Campus Dr,1
55,Buildings & Grounds,40.7603740000000000,-111.8406460000000000,1755 E South Campus Dr,1
56,Physical Plant Services,40.7609440000000000,-111.8412120000000000,1745 E South Campus Dr,1
57,Public Safety Storage Shed,40.7600290000000000,-111.8408110000000000,,1
58,George S. Eccles 2002 Legacy Bridge,40.7649730000000000,-111.8372510000000000,228 S Mario Capecchi Dr,1
59,Joseph F. Merrill Engineering Building,40.7685430000000000,-111.8461440000000000,50 S Central Campus Dr,1
60,Floyd and Jeri Meldrum Civil Engineering Building,40.7670120000000000,-111.8455090000000000,110 S Central Campus Dr,1
61,C. Roland Christensen Center,40.7612740000000000,-111.8439110000000000,1637 E Campus Center Dr,1
62,Sculpture Building,40.7604260000000000,-111.8446470000000000,405 S 1530 E,1
63,Marcia & John Price Museum Building,40.7602450000000000,-111.8432870000000000,410 S Campus Center Dr,1
64,Social and Behavioral Science Lecture Hall,40.7609950000000000,-111.8459600000000000,392 S 1530 E,1
65,College of Social Work,40.7609530000000000,-111.8466880000000000,395 S 1500 E,1
66,Questar Gas Shed #1,40.7630120000000000,-111.8361850000000000,,1
67,Roy W. & Elizabeth E. Simmons Pioneer Memorial Theatre,40.7627740000000000,-111.8510770000000000,300 S 1400 E,1
68,Office Building 44,40.7631330000000000,-111.8484520000000000,290 S 1500 E,1
69,Aline Wilmot Skaggs Biology Building,40.7636840000000000,-111.8486780000000000,259 S 1400 E,1
70,Alfred C. Emery Building,40.7641710000000000,-111.8501070000000000,225 S 1400 E,1
71,Steam Generating Plant,40.7656880000000000,-111.8481050000000000,172 S 1460 E,1
72,McCarthey Family Track and Field Storage Building,40.7672190000000000,-111.8391540000000000,98 S Wasatch Dr,1
73,Golf Pro Shop,40.7680290000000000,-111.8433070000000000,70 S Central Campus Dr,1
74,James LeVoy Sorenson Molecular Biotechnology Building - A USTAR Innovation  Center,40.7689430000000000,-111.8421160000000000,36 S Wasatch Dr,1
75,Office of Sponsored Projects,40.7682840000000000,-111.8485700000000000,1471 E Federal Way,1
76,Fine Arts West,40.7631910000000000,-111.8528790000000000,274 S University St,1
85,Cauldron Legacy Plaza Visitors Center,40.7588340000000000,-111.8497590000000000,491 S 1400 E,1
111,David P. Gardner Hall,40.7662050000000000,-111.8517320000000000,1375 E Presidents Cir,1
112,James Talmage Building,40.7644380000000000,-111.8495020000000000,1430 E Presidents Cir,1
113,Cowles Cooling Tower,40.7661030000000000,-111.8497670000000000,,1
157,Beverley Taylor Sorenson Arts & Education Complex,40.7628490000000000,-111.8415160000000000,1720 E Campus Center Dr,1
158,HPER Natatorium,40.7633310000000000,-111.8398830000000000,270 S 1850 E,1
159,Skaggs Cooling Tower,40.7636080000000000,-111.8482290000000000,,1
160,Building 124,40.7642740000000000,-111.8491460000000000,1450 E Presidents Cir,1
161,Thatcher Building for Biological & Biophysical Chemistry,40.7617230000000000,-111.8496580000000000,351 S 1400 E,1
165,Civil and Materials Engineering,40.7664850000000000,-111.8459990000000000,122 S Central Campus Dr,1
188,John R. Park Building,40.7650070000000000,-111.8487910000000000,201 S Presidents Cir,1
189,Intermountain Network Scientific Computation Center,40.7659170000000000,-111.8487290000000000,155 S 1452 E,1
190,LeRoy E. Cowles Building,40.7656170000000000,-111.8495490000000000,1425 E Presidents Cir,1
191,Naval Science Building,40.7666450000000000,-111.8493800000000000,110 S 1452 E,1
193,Spencer Fox Eccles Business Building,40.7617220000000000,-111.8433840000000000,1655 E Campus Center Dr,1
194,Spence Eccles Ski Team Building,40.7669480000000000,-111.8405540000000000,112 S Wasatch Dr,1
195,Grounds Storage Building,40.7606640000000000,-111.8412350000000000,1741 E South Campus Dr,1
196,Salt Lake City Resevoir,40.7592430000000000,-111.8470650000000000,,1
199,George S. Eccles Student Life Center,40.7650830000000000,-111.8382330000000000,1836 E Student Life Way,1
200,Pumphouse #3,40.7626120000000000,-111.8359860000000000,,1
201,North Campus Chiller Plant,40.7674300000000000,-111.8427460000000000,101 S Central Campus Dr,1
204,Joseph T. Kingsbury Hall,40.7661960000000000,-111.8509430000000000,1395 E Presidents Cir,1
207,Henry Eyring Chemistry Building,40.7623470000000000,-111.8494900000000000,315 S 1400 E,1
