OBJECTID,formal_name,centroid_x,centroid_y,street_address,lattitude,longitude,SHAPE_Length,SHAPE_Area
189,Intermountain Network Scientific Computation Center,428368.26206344,4513118.57714891,155 S 1452 E,40.7659168,-111.848729,176.84175008404455,1733.290731089528
190,LeRoy E. Cowles Building,428298.69295092,4513086.00488421,1425 E Presidents Cir,40.7656173,-111.8495495,175.81171812784217,996.0862273022768
191,Naval Science Building,428314.13924093,4513199.94479291,110 S 1452 E,40.766645,-111.8493796,144.0121631711505,1146.66281534451
193,Spencer Fox Eccles Business Building,428814.88073932,4512648.60943023,1655 E Campus Center Dr,40.7617223,-111.8433843,336.37967957935376,4221.299307645971
194,Spence Eccles Ski Team Building,429059.30608024,4513226.36120606,112 S Wasatch Dr,40.7669476,-111.8405543,95.60803572429478,297.3659339345665
195,Grounds Storage Building,428995.14803016,4512529.37431408,1741 E South Campus Dr,40.7606638,-111.8412352,28.7560909980128,38.194187410306746
196,Salt Lake City Resevoir,428501.5880307,4512376.43323669,,40.7592434,-111.8470646,319.38634688963987,6303.402930236996
199,George S. Eccles Student Life Center,429253.24457844,4513017.47543436,1836 E Student Life Way,40.7650827,-111.838233,504.4551941604562,6360.312334840604
200,Pumphouse #3,429440.28797307,4512741.37734791,,40.7626118,-111.8359859,16.477807257505013,16.285177305273535
201,North Campus Chiller Plant,428874.85135188,4513281.71309075,101 S Central Campus Dr,40.7674303,-111.8427461,307.6138371258461,1944.1849579817024
204,Joseph T. Kingsbury Hall,428181.71935268,4513151.42542443,1395 E Presidents Cir,40.7661964,-111.8509428,250.72757718790032,2621.0136422828045
207,Henry Eyring Chemistry Building,428300.21665757,4512722.92249691,315 S 1400 E,40.7623469,-111.8494898,408.0362780834578,6033.7179597786935
277,V. Randall Turpin University Services Building,429094.15235008,4512608.84533536,1795 E South Campus Dr,40.7613875,-111.8400721,316.63256425668686,4700.198900578273
278,Jon M. Huntsman Center,429206.24242501,4512682.22649357,1825 E South Campus Dr,40.7620589,-111.8387518,461.5573290603412,12253.35570767168
283,Space Planning & Management,428374.52274799,4513428.57500663,25 S Wolcott St,40.7687097,-111.8486904,44.61875000223517,106.75173751025098
287,Social & Behavioral Sciences,428571.84555587,4512621.25671694,380 S 1530 E,40.7614548,-111.8462603,328.3880997008988,2413.017843382726
288,Biology Building,428296.45816961,4512852.32898886,257 S 1400 E,40.7635123,-111.8495492,222.4285310797913,2994.5005571009483
289,Alan W. Layton Engineering Building,428643.11757978,4513182.39732779,124 S Central Campus Dr,40.7665156,-111.84548,176.40813383935125,1720.4310729362544
290,Performing Arts Building,428429.18621405,4512895.55312377,240 S 1500 E,40.7639132,-111.8479817,147.88770675982613,1098.807334295072
291,Eccles House,428791.24607599,4513855.63832002,1525 E Penrose Dr,40.7725992,-111.8437945,137.5150488699357,494.398658739245
295,Soccer Field Ticket Office,429007.92145903,4513311.023989,66 S Wasatch Dr,40.7673491,-111.8409302,31.43872538934704,46.55993753928624
296,Equipment Shed,429007.92145903,4513311.023989,66 S Wasatch Dr,40.7679182,-111.8417775,14.694620327472032,13.331045034841411
297,Dumke Family Softball Stadium,429007.92145903,4513311.023989,66 S Wasatch Dr,40.7677039,-111.8411626,397.6267239007287,1765.8504874287569
298,Field Storage Building,429007.92145903,4513311.023989,66 S Wasatch Dr,40.7681291,-111.8416951,25.501740586152543,40.09823522861619
302,Einar Nielsen Fieldhouse,428350.66777691,4512596.62799296,375 S 1400 E,40.7612137,-111.8488777,290.1290891856295,4268.7661897822745
307,Transformer Building,428149.35265397,4512322.14617154,1395 E 500 S,40.7587237,-111.851231,29.553927973606022,52.86711610586657
308,William Stewart Building,428178.76429143,4512844.62013261,270 S 1400 E,40.7634326,-111.8509426,195.1494852582921,1683.3096210563897
309,The Gary L. and Ann T. Crocker Science Center at the George Thomas Building,428164.78926751,4512913.92464127,1390 E Presidents Cir,40.7640556,-111.8511161,256.73622073376043,3138.261135887383
310,HPER West,429049.32531304,4512779.54278312,290 S 1850 E,40.762922,-111.8406218,317.1365532243278,2711.239595709885
311,HPER East,429172.53729194,4512864.5948716,260 S 1850 E,40.7636929,-111.8391684,375.8526514602932,5067.728642243179
313,"Kenneth P. Burbidge, Jr., Family Athletics Academic Center",429136.37649837,4512787.77942574,296 S 1850 E,40.7629723,-111.8396537,140.67972795049556,754.2723402890434
316,HPER North,429074.53907631,4512881.45990996,250 S 1850 E,40.7638422,-111.8403347,234.0463391073583,3209.349486967599
317,HPER Mechanical Building Southwest,429132.90736295,4512757.23935246,302 S 1850 E,40.7627283,-111.8396291,81.19166436659916,315.0344610242596
320,Central Garage,428980.26374815,4512635.57683265,1700 E Campus Center Dr,40.7616177,-111.8414221,331.7113655132122,6240.709831083552
329,HTW Plant Cooling Tower,428964.55046232,4512536.4686374,,40.7607224,-111.8416042,59.97518798957431,185.2889932919706
331,Language & Communication Building,428794.55345867,4512858.59790412,255 S Central Campus Dr,40.763612,-111.843649,463.7211002286053,5356.079844487582
332,Bldg 301,429014.18669825,4512444.96377369,1735 E South Campus Dr,40.7599051,-111.8410001,124.11890349908532,489.4350431121485
333,Art Building,428687.96817339,4512558.01114211,375 S 1530 E,40.7608952,-111.8448774,220.4195328102069,1556.9060156548471
334,Architecture Building,428718.26868281,4512585.28015102,375 S 1530 E,40.7611435,-111.8445216,218.6828698224309,1659.9350018108532
